Front	Back	Tags
Unknown unicast flooding	If destination MAC is not in the table, switch floods the frame out all ports in the VLAN except the source. <br><br><span style="color:#888">1.1.b.2 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.b weight_high
Collision domain vs broadcast domain	Each switch port = separate collision domain. All ports in same VLAN = one broadcast domain. VLANs split broadcast domains. <br><br><span style="color:#888">1.1.b.3 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.b weight_high
SVI (Switch Virtual Interface)	Virtual L3 interface tied to a VLAN on a multilayer switch. 'interface vlan 10' + IP = default gateway for VLAN 10. <br><br><span style="color:#888">1.1.b.4 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.b weight_high
Routed port	Physical port configured with 'no switchport' — behaves like a router interface with its own IP. <br><br><span style="color:#888">1.1.b.5 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.b weight_high
'ip routing' command	Global command required to enable L3 routing on a multilayer switch. Without it, L3 switch acts only as L2. <br><br><span style="color:#888">1.1.b.6 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.b weight_high
Hardware ASIC forwarding	L3 switches route in hardware (ASICs) at wire speed, faster than CPU-based software routing on most routers. <br><br><span style="color:#888">1.1.b.7 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.b weight_med
L2 vs L3 switch placement	L2 at access layer (endpoint connection). L3 at distribution layer (inter-VLAN routing, policy). <br><br><span style="color:#888">1.1.b.8 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.b weight_med
Stateless firewall	Filters packets individually using ACLs — source/dest IP, ports, protocol. No connection awareness. <br><br><span style="color:#888">1.1.c.1 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.c weight_high
Stateful firewall	Tracks active connection state (TCP handshake, UDP pseudo-sessions). Auto-allows return traffic. Classic example: Cisco ASA. <br><br><span style="color:#888">1.1.c.2 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.c weight_high
Next-Generation Firewall (NGFW)	Adds L7 inspection, application awareness, integrated IPS, URL filtering, AMP, and user identity to stateful firewall capabilities. <br><br><span style="color:#888">1.1.c.3 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.c weight_high
Deep packet inspection (DPI)	Inspects L7 payload, identifies specific applications regardless of port (e.g., distinguishes Zoom vs BitTorrent on port 443). <br><br><span style="color:#888">1.1.c.4 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.c weight_high
IDS (Intrusion Detection System)	Passive monitor on a SPAN/mirror port. Sees COPIES of traffic. Alerts on threats but CANNOT block. <br><br><span style="color:#888">1.1.c.5 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.c weight_high
IPS (Intrusion Prevention System)	Inline device in traffic path. Can DROP malicious packets in real time. Adds latency but actively protects. <br><br><span style="color:#888">1.1.c.6 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.c weight_high
Signature-based detection	Matches known attack patterns from an updated database. Reliable for known threats, misses zero-days. <br><br><span style="color:#888">1.1.c.7 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.c weight_med
Anomaly-based detection	Flags traffic deviating from a learned baseline. Can catch novel attacks but produces more false positives. <br><br><span style="color:#888">1.1.c.8 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.c weight_med
Cisco Secure Firewall (FTD)	Current Cisco NGFW platform (formerly Firepower Threat Defense). Managed by FMC or Cisco Defense Orchestrator. <br><br><span style="color:#888">1.1.c.9 · weight: low</span>	ccna domain1 topic1.1 subtopic1.1.c weight_low
Autonomous AP	Standalone AP. Configured individually via CLI/web GUI. All wireless functions local. Fine for 1-3 APs, unmanageable at scale. <br><br><span style="color:#888">1.1.d.1 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.d weight_high
Lightweight AP	WLC-managed via CAPWAP. Split-MAC architecture. Scales to thousands of APs with central config. <br><br><span style="color:#888">1.1.d.2 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.d weight_high
CAPWAP	Control And Provisioning of Wireless Access Points (RFC 5415). Tunnels AP↔WLC traffic. Control = UDP 5246 (DTLS), Data = UDP 5247 (optional DTLS). <br><br><span style="color:#888">1.1.d.3 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.d weight_high
Split-MAC architecture	Real-time RF functions (beacons, encryption, ACKs) stay on AP. Management (auth, SSID/VLAN, RF decisions, firmware) handled by WLC. <br><br><span style="color:#888">1.1.d.4 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.d weight_high
Local mode (AP)	Default mode. Serves clients and scans for rogues between data frames. Tunnels data to WLC. <br><br><span style="color:#888">1.1.d.5 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.d weight_med
FlexConnect mode	AP switches data LOCALLY at the branch. Survives WLC failure. Used for remote/branch offices. <br><br><span style="color:#888">1.1.d.6 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.d weight_high
Monitor/Sniffer/SE-Connect modes	Monitor = dedicated rogue/IDS sensor, no client service. Sniffer = capture frames for analysis. SE-Connect = spectrum analysis. <br><br><span style="color:#888">1.1.d.7 · weight: low</span>	ccna domain1 topic1.1 subtopic1.1.d weight_low
BSS / BSSID	Basic Service Set = one AP + its clients. BSSID = the AP radio's MAC address. <br><br><span style="color:#888">1.1.d.8 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.d weight_high
ESS	Extended Service Set = multiple APs sharing the same SSID to provide seamless roaming across a larger area. <br><br><span style="color:#888">1.1.d.9 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.d weight_high
SSID	Service Set Identifier. Human-readable network name broadcast in beacon frames. <br><br><span style="color:#888">1.1.d.10 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.d weight_high
WLC management interface	Primary in-band mgmt: AP association, RADIUS auth, admin access. The most critical WLC interface. <br><br><span style="color:#888">1.1.e.1 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.e weight_high
WLC virtual interface	Default IP 1.1.1.1. Used for DHCP relay, web auth redirect, and mobility manager. <br><br><span style="color:#888">1.1.e.2 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.e weight_med
WLC dynamic interface	Mapped to a VLAN, separates wireless traffic like an SVI on a switch. <br><br><span style="color:#888">1.1.e.3 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.e weight_med
WLC service port	Out-of-band management only. Not used for client traffic. <br><br><span style="color:#888">1.1.e.4 · weight: low</span>	ccna domain1 topic1.1 subtopic1.1.e weight_low
RRM (Radio Resource Management)	WLC feature that auto-assigns channels and adjusts transmit power to minimize interference across APs. <br><br><span style="color:#888">1.1.e.5 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.e weight_med
Rogue AP detection	WLC identifies unauthorized APs on the network via AP scanning. <br><br><span style="color:#888">1.1.e.6 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.e weight_med
Cisco DNA Center / Catalyst Center	Network-wide management platform. Centerpiece of Intent-Based Networking (IBN). Manages wired + wireless + WAN. <br><br><span style="color:#888">1.1.e.7 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.e weight_high
DNA Center four pillars	Design (hierarchy, IPAM), Policy (SGTs, microseg), Provision (PnP, config push), Assurance (monitoring, AI anomaly detection). <br><br><span style="color:#888">1.1.e.8 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.e weight_high
SD-Access (SDA)	DNA Center's network fabric. VXLAN overlay tunnels + LISP for endpoint mobility. <br><br><span style="color:#888">1.1.e.9 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.e weight_med
WLC vs DNA Center scope	WLC = wireless-only controller (APs/WLANs). DNA Center = network-wide controller that can manage WLCs as part of a larger fabric. <br><br><span style="color:#888">1.1.e.10 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.e weight_high
Endpoint	Device at the edge of a network that generates or consumes data (PC, phone, printer, IP camera, IoT sensor). <br><br><span style="color:#888">1.1.f.1 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.f weight_high
NIC + MAC address	Network Interface Card. MAC = 48-bit burned-in address (BIA). Unique per NIC. <br><br><span style="color:#888">1.1.f.2 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.f weight_high
Default gateway	The router or L3 switch SVI an endpoint sends traffic to for destinations outside its local subnet. <br><br><span style="color:#888">1.1.f.3 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.f weight_high
Access layer	Lowest campus network tier. Where endpoints connect. Enforces port-level policy. <br><br><span style="color:#888">1.1.f.4 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.f weight_high
Port security	Access-layer feature that limits which MAC addresses can connect on a given port. <br><br><span style="color:#888">1.1.f.5 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.f weight_high
802.1X authentication	Port-based auth that requires credentials before granting network access. Works with RADIUS/ISE. <br><br><span style="color:#888">1.1.f.6 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.f weight_high
DHCP snooping	Blocks rogue DHCP servers by allowing DHCP offers only from trusted ports. <br><br><span style="color:#888">1.1.f.7 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.f weight_high
Dynamic ARP Inspection (DAI)	Prevents ARP spoofing by validating ARP packets against the DHCP snooping binding table. <br><br><span style="color:#888">1.1.f.8 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.f weight_high
NAC (Network Access Control)	Verify device compliance (patches, AV, cert) before allowing network access. <br><br><span style="color:#888">1.1.f.9 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.f weight_med
Cisco ISE	Identity Services Engine. Centralized AAA + 802.1X policy + endpoint profiling. <br><br><span style="color:#888">1.1.f.10 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.f weight_med
Client-server model	Client initiates a request; server responds. Server listens on a well-known port for incoming connections. <br><br><span style="color:#888">1.1.g.1 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
DNS	Resolves hostnames → IPs. UDP/TCP port 53. Record types: A (IPv4), AAAA (IPv6), CNAME, MX, PTR. <br><br><span style="color:#888">1.1.g.2 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
DHCP + DORA	Assigns IP, mask, GW, DNS. Server UDP 67 / client UDP 68. DORA = Discover, Offer, Request, Acknowledge. <br><br><span style="color:#888">1.1.g.3 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
HTTP / HTTPS	HTTP = TCP 80 (plaintext). HTTPS = TCP 443 (TLS-encrypted). <br><br><span style="color:#888">1.1.g.4 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
FTP / TFTP	FTP = TCP 21 control + TCP 20 data (active). TFTP = UDP 69, no auth — used for IOS/config transfer. <br><br><span style="color:#888">1.1.g.5 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
SSH vs Telnet	SSH = TCP 22, encrypted. Telnet = TCP 23, plaintext (passwords exposed). Always prefer SSH. <br><br><span style="color:#888">1.1.g.6 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
SMTP / POP3 / IMAP	SMTP (send) = TCP 25 (or 587). POP3 (retrieve) = TCP 110. IMAP (access) = TCP 143. <br><br><span style="color:#888">1.1.g.7 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
RADIUS	UDP 1812 auth, UDP 1813 accounting. Open standard. Encrypts password only. Used with 802.1X. <br><br><span style="color:#888">1.1.g.8 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
TACACS+	TCP 49. Cisco-proprietary AAA. Separates auth/author/acct. Encrypts ENTIRE packet body. <br><br><span style="color:#888">1.1.g.9 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
Syslog	UDP 514. Central logging. Severity 0 (emergency) → 7 (debug). Lower = more critical. <br><br><span style="color:#888">1.1.g.10 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
NTP	UDP 123. Time sync across devices. Essential for log correlation and cert validation. <br><br><span style="color:#888">1.1.g.11 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
SNMP	UDP 161 queries / UDP 162 traps. v1/v2c = plaintext community strings. v3 = auth + encryption (use v3). <br><br><span style="color:#888">1.1.g.12 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.g weight_high
PSE (Power Sourcing Equipment)	The device providing power — typically a PoE switch or a midspan injector. <br><br><span style="color:#888">1.1.h.1 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.h weight_high
PD (Powered Device)	The device drawing power — AP, IP phone, IP camera, etc. <br><br><span style="color:#888">1.1.h.2 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.h weight_high
802.3af (PoE)	Up to 15.4W at PSE (~12.95W at PD). Uses 2 of 4 pairs. Basic IP phones, entry APs. <br><br><span style="color:#888">1.1.h.3 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.h weight_high
802.3at (PoE+)	Up to 30W at PSE (~25.5W at PD). 600mA. Modern APs, pan-tilt cameras. <br><br><span style="color:#888">1.1.h.4 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.h weight_high
802.3bt Type 3 (PoE++)	Up to 60W using all 4 pairs. Wi-Fi 6 APs, digital signage. <br><br><span style="color:#888">1.1.h.5 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.h weight_high
802.3bt Type 4 (PoE++)	Up to 90W using all 4 pairs at higher current. Cat6A recommended. PTZ cams with heaters, laptops. <br><br><span style="color:#888">1.1.h.6 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.h weight_high
Cisco UPoE / UPoE+	Cisco-proprietary 60W / 90W. Predate and overlap 802.3bt. <br><br><span style="color:#888">1.1.h.7 · weight: low</span>	ccna domain1 topic1.1 subtopic1.1.h weight_low
PoE detection + classification	Switch sends low-voltage probe, checks for 25kΩ signature, then classifies PD into a power class (0-8) to allocate wattage. <br><br><span style="color:#888">1.1.h.8 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.h weight_med
PoE power budget	Total wattage a switch can deliver across all PoE ports. Exceeding it denies power to lower-priority ports. <br><br><span style="color:#888">1.1.h.9 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.h weight_high
Endspan vs midspan	Endspan = PoE built into the switch (common). Midspan = separate injector between non-PoE switch and PD. <br><br><span style="color:#888">1.1.h.10 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.h weight_med
'show power inline'	View PoE status per port — allocated vs consumed watts, device class, port state. <br><br><span style="color:#888">1.1.h.11 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.h weight_high
Two-tier (collapsed core)	Access + combined core/distribution layer. Used in small/medium campuses (~<200 users, single building). Cheaper, simpler, less scalable. <br><br><span style="color:#888">1.2.a.1 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.a weight_high
Collapsed core/distribution switch	Single layer performing inter-VLAN routing, ACLs, QoS, HSRP/VRRP, and high-speed backbone forwarding. Typically L3 (Cat 9300/9500). <br><br><span style="color:#888">1.2.a.2 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.a weight_high
Access layer (two-tier)	L2 switches connecting endpoints. Same role as in three-tier: port security, 802.1X, DHCP snooping. <br><br><span style="color:#888">1.2.a.3 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.a weight_med
HSRP / VRRP default gateway redundancy	First Hop Redundancy Protocols. Allow two switches to share a virtual IP as default gateway. Deployed at collapsed core or distribution. <br><br><span style="color:#888">1.2.a.4 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.a weight_high
Two-tier use case	Single building or small multi-building site, <200 users, limited growth. Start here, migrate to three-tier on scale. <br><br><span style="color:#888">1.2.a.5 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.a weight_med
Access layer (three-tier)	L2 edge switches connecting endpoints. Port-level VLAN assignment, PoE, 802.1X, port security, DHCP snooping, DAI, QoS trust boundary. <br><br><span style="color:#888">1.2.b.1 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.b weight_high
Distribution layer	L3 aggregation + policy enforcement. Inter-VLAN routing (SVIs), ACLs, QoS enforcement, route summarization, HSRP/VRRP, STP root. <br><br><span style="color:#888">1.2.b.2 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.b weight_high
Core layer	High-speed backbone. Pure fast forwarding — NEVER do ACLs, QoS remarking, or policy here. 10G/40G/100G uplinks. <br><br><span style="color:#888">1.2.b.3 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.b weight_high
ADC mnemonic	Access → Distribution → Core. Top-down or bottom-up, know each layer's function and what it must NOT do. <br><br><span style="color:#888">1.2.b.4 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.b weight_med
Route summarization	Distribution advertises a single summary route to the core instead of many specific routes. Reduces core routing table size. <br><br><span style="color:#888">1.2.b.5 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.b weight_high
Dual-homed access	Each access switch connects to BOTH distribution switches for redundancy. Standard three-tier practice. <br><br><span style="color:#888">1.2.b.6 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.b weight_high
Three-tier scalability	Scales by adding distribution blocks without redesigning the core. Right for multi-building campuses with thousands of users. <br><br><span style="color:#888">1.2.b.7 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.b weight_med
Spine-leaf fabric	Two-tier DC design. Every leaf connects to every spine; leaves never connect to leaves, spines never to spines. <br><br><span style="color:#888">1.2.c.1 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.c weight_high
Leaf switch (ToR)	Top of Rack. Access layer for servers and storage. Do not cross-connect to other leaves. <br><br><span style="color:#888">1.2.c.2 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.c weight_high
Spine switch	Backbone. Only connects to leaves — never to servers or other spines. Provides uniform forwarding capacity. <br><br><span style="color:#888">1.2.c.3 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.c weight_high
East-west traffic	Server-to-server within the DC. Dominates virtualized and distributed workloads. Spine-leaf optimizes for this. <br><br><span style="color:#888">1.2.c.4 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.c weight_high
North-south traffic	Client-to-server (in/out of the DC). Three-tier is built for this. <br><br><span style="color:#888">1.2.c.5 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.c weight_med
ECMP (Equal-Cost Multi-Path)	L3 routing load-balances across all leaf-spine paths simultaneously. Replaces STP's link-blocking. <br><br><span style="color:#888">1.2.c.6 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.c weight_high
Predictable 2-hop latency	Any two servers on different leaves are always exactly 2 hops apart (leaf → spine → leaf). <br><br><span style="color:#888">1.2.c.7 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.c weight_high
VXLAN overlay	Virtual Extensible LAN. Extends L2 segments across L3 spine-leaf fabric. Paired with EVPN (BGP-based control plane). <br><br><span style="color:#888">1.2.c.8 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.c weight_med
WAN	Wide Area Network. Connects geographically separated sites over provider infrastructure. Slower, higher-latency, more expensive than LAN. <br><br><span style="color:#888">1.2.d.1 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.d weight_high
MPLS	Multiprotocol Label Switching. Provider-managed private WAN with guaranteed SLAs. L3 VPN (provider routes) or L2 VPN. Expensive, reliable. <br><br><span style="color:#888">1.2.d.2 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.d weight_high
Metro Ethernet	Ethernet-based WAN within a metro area. Types: E-Line (P2P), E-LAN (any-to-any), E-Tree (hub-and-spoke). <br><br><span style="color:#888">1.2.d.3 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.d weight_med
Broadband (DSL/Cable/Fiber)	Consumer/business internet access. Cheap, no SLA guarantees. Common as SD-WAN underlay or backup. <br><br><span style="color:#888">1.2.d.4 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.d weight_med
Leased line (T1/T3, E1/E3)	Dedicated P2P circuit with guaranteed bandwidth. T1=1.544 Mbps, T3=44.736 Mbps. Legacy, being replaced by Metro Ethernet/MPLS. <br><br><span style="color:#888">1.2.d.5 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.d weight_med
SD-WAN	Software-Defined WAN. Encrypted overlay across multiple transports (MPLS, broadband, LTE). Central controller, app-aware path selection. <br><br><span style="color:#888">1.2.d.6 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.d weight_high
CPE	Customer Premises Equipment. The router at the customer site, typically the demarc boundary for managed services. <br><br><span style="color:#888">1.2.d.7 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.d weight_med
Demarcation point (demarc)	Boundary between provider-managed and customer-managed infrastructure. Provider owns up to the demarc. <br><br><span style="color:#888">1.2.d.8 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.d weight_med
MPLS vs SD-WAN	MPLS = guaranteed SLA, expensive, provider-routed. SD-WAN = app-aware, cheaper, uses multiple transports, centrally managed. Strategic direction: SD-WAN. <br><br><span style="color:#888">1.2.d.9 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.d weight_high
SOHO network	Small Office/Home Office. 1–10 users. Simple flat topology with a single all-in-one device. <br><br><span style="color:#888">1.2.e.1 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.e weight_high
All-in-one device	Combines router, switch (4-8 ports), AP, firewall, DHCP server, and NAT gateway in one box. <br><br><span style="color:#888">1.2.e.2 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.e weight_high
Flat network	Single subnet and single broadcast domain. No VLANs, no inter-VLAN routing, no core/distribution layers. <br><br><span style="color:#888">1.2.e.3 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.e weight_med
PAT (Port Address Translation)	Many private IPs → single public IP using port numbers to distinguish sessions. The common form of NAT at a SOHO. <br><br><span style="color:#888">1.2.e.4 · weight: high</span>	ccna domain1 topic1.2 subtopic1.2.e weight_high
SOHO private ranges	Typical: 192.168.0.0/24, 192.168.1.0/24, or 10.0.0.0/24. <br><br><span style="color:#888">1.2.e.5 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.e weight_med
SOHO vs Enterprise	SOHO: one device, no redundancy, no advanced features. Enterprise: tiered, redundant, centrally managed. <br><br><span style="color:#888">1.2.e.6 · weight: med</span>	ccna domain1 topic1.2 subtopic1.2.e weight_med
